Disease,Symptoms
Specific phobia,"Panic attacks, Phobias"
Social anxiety disorder,Phobias
Obsessive-compulsive disorder (OCD),"Obsessive thoughts, Compulsive behaviors"
Post-traumatic stress disorder (PTSD),Flashbacks
Acute stress disorder,Flashbacks
Dissociative disorder,Feeling emotionally numb
Personality disorder,"Difficulty trusting others, Risky behavior"
Past trauma,Difficulty trusting others
Bipolar disorder (mania),"Hearing voices, Disorganized thinking, Impulsive behavior, Risky behavior"
Severe depression,Hearing voices
Drug withdrawal,Seeing things that aren't there
Delusional disorder,"Paranoia, Delusions"
Severe anxiety,Paranoia
Schizophrenia (negative symptoms),Lack of motivation
Substance use disorder,Substance craving
Addiction,"Substance craving, Drug withdrawal symptoms"
Withdrawal,Substance craving
Delirium tremens,Alcohol withdrawal symptoms
Seizures,Alcohol withdrawal symptoms
Varies by drug (e.g.,Drug withdrawal symptoms
nausea,Drug withdrawal symptoms
insomnia,Drug withdrawal symptoms
pain),Drug withdrawal symptoms
Diabetes mellitus,Excessive thirst despite drinking
Stress incontinence,"Urinary incontinence, Leaking urine when coughing/sneezing"
Interstitial cystitis,Urgency to urinate
Weak pelvic floor muscles,Leaking urine when coughing/sneezing
Prostate enlargement (BPH),"Difficulty starting urination, Weak urine stream, Dribbling after urination, Feeling of incomplete bladder emptying"
Neurogenic bladder,"Difficulty starting urination, Feeling of incomplete bladder emptying"
Bladder muscle weakness,Weak urine stream
Overflow incontinence,Dribbling after urination
Certain foods/medications,Foul-smelling urine
Hematuria (blood in urine),Pink or cola-colored urine
Yeast infection,Vaginal itching
Bacterial vaginosis,"Vaginal itching, Abnormal vaginal odor"
Trichomoniasis,Abnormal vaginal odor
Poor hygiene,Abnormal vaginal odor
Bleeding disorders,"Heavy menstrual bleeding, Purple spots on skin (Purpura)"
Polycystic ovary syndrome (PCOS),Irregular periods
Hormonal imbalance,Bleeding between periods
Uterine polyps,"Bleeding between periods, Bleeding after menopause"
Cervical issues,Bleeding between periods
Endometrial cancer,Bleeding after menopause
Vaginal atrophy,Bleeding after menopause
Fibrocystic changes,Breast pain
Menstrual cycle changes,Breast pain
Prolactinoma,Nipple discharge
Duct ectasia,"Nipple discharge, Inverted nipple (new onset)"
Inflammatory breast cancer,Skin changes on breast (dimpling redness)
Fat necrosis,Skin changes on breast (dimpling redness)
Epididymal cyst,Lump in testicle
Erectile dysfunction,"Difficulty achieving erection, Difficulty maintaining erection"
Cardiovascular disease,Difficulty achieving erection
Vascular problems,Difficulty maintaining erection
Low testosterone,Decreased libido
Urethritis (Gonorrhea,Penile discharge
Chlamydia),Penile discharge
Balanitis,Penile discharge
Syphilis,Sores on genitals
Chancroid,Sores on genitals
Human papillomavirus (HPV),Warts on genitals
Fungal infection (jock itch),Itching in genital area
Pubic lice,Itching in genital area
Anal fistula,Rectal discharge
Rectal prolapse,"Feeling of pressure in rectum, Feeling of incomplete bowel movement"
Fecal incontinence,"Difficulty controlling bowel movements, Loss of bowel control"
Nerve damage,"Difficulty controlling bowel movements, Loss of bowel control, Droopy eyelid (Ptosis)"
Diarrhea,"Difficulty controlling bowel movements, Loss of bowel control"
Pancreatitis,"Greasy stools, Pale stools"
Bile duct obstruction,Pale stools
Lower gastrointestinal bleeding (hemorrhoids,Bright red blood in stool
diverticulosis,Bright red blood in stool
colitis),Bright red blood in stool
Irritable bowel syndrome (IBS),"Mucus in stool, Alternating constipation and diarrhea, Feeling of incomplete bowel movement, Bloating after eating"
Ulcerative colitis,Mucus in stool
Inflammatory bowel disease (IBD),Alternating constipation and diarrhea
Ascites (fluid accumulation),Increased abdominal girth
Tumor,Increased abdominal girth
Liver cirrhosis (caput medusae),Visible veins on abdomen
Portal hypertension,Visible veins on abdomen
Peritonitis,"Abdominal rigidity, Rebound tenderness in abdomen, Abdominal guarding"
Bowel perforation,Abdominal rigidity
Cholecystitis,Abdominal guarding
Pregnancy cravings/aversions,Loss of appetite for specific foods
Food intolerance,"Loss of appetite for specific foods, Bloating after eating"
Psychological factors,Loss of appetite for specific foods
Iron deficiency anemia,Craving non-food items (Pica)
Gastroesophageal reflux disease (GERD),"Sour taste in mouth, Indigestion, Heartburn, Regurgitation of food or sour liquid, Water brash (excess saliva with reflux)"
Acid reflux,Bitter taste in mouth
Liver or gallbladder problems,Bitter taste in mouth
Eating disorder,Food aversion
Chemotherapy side effect,Food aversion
Gastroparesis,"Feeling full quickly (Early satiety), Bloating after eating"
Stomach ulcer,Feeling full quickly (Early satiety)
Stomach cancer,Feeling full quickly (Early satiety)
Peptic ulcer,"Pain after eating, Indigestion"
Neurological disorders,Difficulty swallowing liquids
Esophagitis,"Painful swallowing (Odynophagia), Burning sensation in chest"
Throat infection,Painful swallowing (Odynophagia)
Heart attack,"Chest pressure, Pain radiating to arm/jaw/back"
Anxiety attack,Chest tightness
Pleurisy,Sharp chest pain
Pericarditis,Sharp chest pain
Heartburn (GERD),Burning sensation in chest
Severe heart failure,Shortness of breath at rest
Severe COPD,Shortness of breath when lying flat (Orthopnea)
Asthma attack,Rapid breathing (Tachypnea)
Pain,Shallow breathing
Respiratory muscle weakness,Shallow breathing
Hypoxia (low oxygen),Blue lips or fingernails (Cyanosis)
Severe lung disease,Blue lips or fingernails (Cyanosis)
Chronic lung disease,Clubbing of fingers/toes
Bronchiectasis,Coughing up blood (Hemoptysis)
Bacterial infection (bronchitis,Coughing up yellow/green phlegm
pneumonia),"Coughing up yellow/green phlegm, High fever (above 103F or 39.4C)"
Croup,Barking cough
Pertussis,Whooping cough sound
Postnasal drip,Chronic cough (more than 8 weeks)
Thyroid problems,Voice change
Vocal cord paralysis,Loss of voice
Overuse,Loss of voice
Vocal cord strain,Pain when speaking
Earwax impaction,"Ear fullness, Muffled hearing"
Ear infection (otitis media/externa),Ear discharge
Ruptured eardrum,Ear discharge
Pulsatile tinnitus,Pulsating sound in ear
Vascular abnormality,Pulsating sound in ear
High blood pressure,"Pulsating sound in ear, Headache worse in the morning"
Auditory hallucinations (Schizophrenia,Hearing voices when alone
psychosis),Hearing voices when alone
Otitis media,"Muffled hearing, Pain behind the ear"
Sensorineural hearing loss,Sudden hearing loss
Noise exposure,Gradual hearing loss
Otosclerosis,Gradual hearing loss
Mastoiditis,Pain behind the ear
Otitis externa (swimmer's ear),Itchy ear canal
Conjunctivitis (pink eye),Eye redness
Dry eye,Eye redness
Uveitis,"Eye redness, Seeing floaters"
Corneal ulcer,Eye discharge (pus or watery)
Dry eye syndrome,Gritty sensation in eye
Foreign body,Gritty sensation in eye
Infected eyelash follicle,Stye (painful lump on eyelid)
Blocked oil gland,Chalazion (painless lump on eyelid)
Fatigue,Eyelid twitching
Caffeine,Eyelid twitching
Facial nerve injury,Inability to close eye completely
Posterior vitreous detachment,Seeing floaters
Retinal tear,Seeing floaters
Retinal tear or detachment,Seeing flashes of light
Retinal detachment,Curtain or veil over vision
Macular degeneration,"Blind spots in vision, Distorted vision (straight lines appear wavy)"
Optic neuritis,Blind spots in vision
Night blindness (Vitamin A def.),Difficulty seeing at night
Corneal edema,Halos around lights
Presbyopia (age-related farsightedness),Need for brighter light when reading
Keratoconus,Frequent changes in eyeglass prescription
Muscle imbalance,Crossed eyes (Strabismus)
Nerve problems,Crossed eyes (Strabismus)
Refractive error,Crossed eyes (Strabismus)
Unequal refractive error,Lazy eye (Amblyopia)
Cataract in childhood,Lazy eye (Amblyopia)
Fibromyalgia,Skin sensitivity to touch
Scleroderma,"Skin thickening, Raynaud's phenomenon (fingers change color in cold)"
Lymphedema,Skin thickening
Chronic eczema,Skin thickening
Long-term steroid use,Skin thinning
Rapid weight gain/loss,Stretch marks (Striae)
Vasculitis,Purple spots on skin (Purpura)
Medication reaction,Purple spots on skin (Purpura)
Thrombocytopenia,Pinpoint red spots on skin (Petechiae)
Infection (meningitis,Pinpoint red spots on skin (Petechiae)
sepsis),Pinpoint red spots on skin (Petechiae)
High cholesterol,Yellow bumps on skin (Xanthomas)
Sebaceous hyperplasia,Pearly or waxy bump on skin
Squamous cell carcinoma,Firm red nodule on skin
Keratoacanthoma,Firm red nodule on skin
Skin cancer (basal cell,Sore that does not heal
squamous cell),Sore that does not heal
Chronic infection,Sore that does not heal
Autoimmune condition,Loss of pigment in patches (Vitiligo)
Addison's disease,"Darkening of skin creases, Bronze skin"
Acanthosis nigricans (insulin resistance),Darkening of skin creases
Hemochromatosis,Bronze skin
Systemic lupus erythematosus (SLE),Butterfly rash across face
Injury,Reduced range of motion in joints
Osteoporosis (fracture),Bone pain
Bone cancer,Bone pain
Scoliosis,Curvature of the spine
Kyphosis,Curvature of the spine
Osteoporosis (vertebral fractures),Loss of height
Poor circulation,"Feeling cold all the time, Poor wound healing"
Palpitations,Pounding heart
Premature atrial/ventricular contractions (PACs/PVCs),Skipped heartbeats
Arrhythmia (SVT,Rapid heartbeat (Tachycardia)
Afib),Rapid heartbeat (Tachycardia)
Heart block,Slow heartbeat (Bradycardia)
Sick sinus syndrome,Slow heartbeat (Bradycardia)
Medications,Slow heartbeat (Bradycardia)
Superior vena cava obstruction,Prominent neck veins
Deep vein thrombosis (DVT),One leg swollen and painful
Cellulitis,One leg swollen and painful
Concussion,Headache after head injury
Subdural hematoma,Headache after head injury
Cluster headache,Severe pain around one eye
Fever,Chills
Hypothermia,Chills
Severe infection (sepsis,High fever (above 103F or 39.4C)
Heat stroke,High fever (above 103F or 39.4C)
Exposure to cold,Low body temperature (Hypothermia)
Sepsis (in elderly/infants),Low body temperature (Hypothermia)
Chronic steroid use,Recurrent infections
Developmental delay,Delayed milestones in children
Specific learning disorder (dyslexia,Learning disability
dyscalculia),Learning disability
Oppositional defiant disorder,Behavioral problems in children
Conduct disorder,Behavioral problems in children
Delayed bladder control,Bedwetting (Enuresis) beyond age 5
